Restore	載入
The bar's worn and waxed wooden surface has obviously seen a lot of action.	吧台磨損且打過蠟的木質表面顯然經歷過許多事情。
the tables	桌子
Empty tables and chairs sit silently about, waiting for a crowd to arrive.	空蕩蕩的桌椅無聲地坐著，等待人群到來。
the pool cues	撞球桿
Those cues look pretty beat up, probably get a sliver from it.	那些球桿看起來很破爛，可能會扎到木刺。
Looks like someone used the screen for a spitting contest target.	看起來有人把螢幕當成吐口水比賽的目標。
the barstools	吧椅
The barstool's leather tops have been worn smooth by countless rear ends.	吧椅的皮質座面被無數屁股磨得光滑。
the candles	蠟燭
Seventies-style glass candle-holders attempt to soften the atmosphere.	七０年代風格的玻璃燭台試圖柔和氛圍。
the ashtrays	菸灰缸
As in most bars, ashtrays are everywhere. You try to ignore their contents.	如大多數酒吧一樣，菸灰缸到處都是。你試著忽視它們的內容物。
There's a fire hydrant on the sidewalk.	人行道上有個消防栓。
The tree looks lonely amid all that brick and concrete.	樹在磚塊和混凝土中看起來很孤獨。
The sign reads "Coroner".	招牌上寫著「法醫」。
This building houses the County Coroner's office.	這棟建築裡有郡法醫辦公室。
Like all county buildings,The sidewalks are kept clean and tidy.	如同所有郡建築一樣，人行道保持乾淨整潔。
Drawer	抽屜
Deedee Suffermuch	Deedee Suffermuch
Jason Harper	Jason Harper
Steven Rocklin	Steven Rocklin
Diane Goadahevin	Diane Goadahevin
Philip Ness	Philip Ness
Ted N. Burried	Ted N. Burried
Patrick Palmer	Patrick Palmer
The tiled floor is freshly cleaned and waxed.	瓷磚地板打掃得很乾淨，還打過蠟。
The office lamps give off bright, clinical-looking light.	辦公室的檯燈發出明亮、冰冷的光線。
The air vent circulates the air in the office. Nevertheless, it always smells like formaldehyde in here.	空氣通風口在辦公室裡循環空氣。儘管如此，這裡老是有著甲醛的味道。
The fire engine's lights are on.	消防車的警示燈亮著。
The hose is squirting water.	軟管噴著水。
The lawn is green and closely clipped.	草坪綠油油的，修剪得很整齊。
The sidewalk is wet with water from the firemen's hoses.	人行道被消防員的水管濺溼了。
The windows have been blown to pieces by the heat of the fire.	窗戶被火焰的高溫炸碎了。
You see a fire hydrant.	你看到一個消防栓。
It's The trunk of your car.	這是你車子的後行李廂。
A sofa cushion is on the floor.	沙發墊子在地板上。
Just something else that was melted by the intense heat of the fire.	只是另一樣被猛烈的火焰高溫熔化的東西。
A hallway leads off from what's left of the living room.	一條走廊從客廳的殘骸延伸出去。
Blood	血跡
The room's wooden floor seems to have escaped the fire.	房間裡的木質地板似乎在大火中倖存了下來。
Large white candles mark the points of a large pentagram painted on the floor.	地板上繪著一個大五芒星，由大白蠟燭標示出各個頂點。
That's the exit.	那是出口。
It's a computer printer.	那是電腦印表機。
This looks like the kind of man you want to take seriously.	這看起來是個你得認真對待的人。
A passerby.	一個過路人。
The desk has a military neatness.	辦公桌有著軍隊式的整潔。
Just looking at all those posters makes you feel patriotic.	光是看著那些海報就讓人有股愛國心。
Those computers are everywhere, aren't they?	那些電腦到處都是，不是嗎？
The filing cabinets probably hold countless forms in triplicate.	檔案櫃裡頭大概裝滿了無數份一式三份的表單。
A trash can	垃圾桶
The counters are polished and bare.	櫃檯拋光得很亮，卻空蕩蕩的。
Your back-up's patrol car is parked next to yours in the yard.	支援隊伍的巡邏車停在院子裡你的車旁邊。
Your back-up officer is in position.	支援警察已經就位。
Officer Parks is with the K9 unit.	Officer Parks 在警犬隊。
The ram is a fortified military vehicle that's been converted for police work and fitted with a steel hydraulic boom. It can get through just about anything.	那台衝擊車是一部經軍方加固、改裝為警察用途、配備鋼製液壓臂的車輛。它能穿過幾乎任何東西。
Looks like a happy little mutt.	看起來像隻快樂的小混血狗。
The windows have been partially boarded over. Underneath the boards you can see thick metal bars.	窗戶被部分釘上木板。木板下面你能看到厚重的金屬欄杆。
Your partner, Pat Morales.	你的搭檔 Pat Morales。
That's the passenger car door.	那是乘客側的車門。
A rickety flight of stairs lead to the second floor.	一段搖搖晃晃的樓梯通往二樓。
The front lawn is unkempt and neglected. Obviously, the people that live here aren't gardeners.	前院蓬亂荒蕪。顯然住在這裡的人不是園藝好手。
The house looks like a shack but, judging by the barred windows and heavy front door, it's well fortified.	房子看起來像間簡陋的棚屋，不過從有欄杆的窗戶和沉重的前門來看，防禦得相當牢固。
The old car reminds you of the car you had while you were in college - except this one is in better condition.	這輛舊車讓你想起大學時你有過的車，不過這輛的狀況要好得多。
A rickety flight of stairs leads to the second floor.	一段搖搖晃晃的樓梯通往二樓。
Discarded junk in the yard adds to the house's air of neglect.	院子裡棄置的廢物更增添了房子的荒涼感。
The porch looks like it's about ready to collapse.	門廊看起來快要倒塌了。
There's an electric meter on the side of the house.	房子側邊有個電度表。
A large fireplace dominates the room.	一個大壁爐主宰著房間。
You don't have time for that now!	你現在沒時間做那個！
A second suspect is surrendering. It takes you a moment to realize it's... it's Michael Bains!	第二個嫌犯在投降。你花了一會兒才醒悟過來……那是 Michael Bains！
Spike looks agitated. He seems to have found something.	Spike 看起來很激動。他似乎找到了什麼。
A scuffed up cushion sits on the couch.	一個磨損的墊子放在沙發上。
Part of the fireplace has moved away to reveal a hidden staircase.	壁爐的一部分移開了，露出一條隱藏的樓梯。
The ruined steel door lies useless on the floor.	毀壞的鋼門躺在地上，已經沒有用處。
Newspapers are scattered around the floor.	報紙散落在地板周圍。
She's from December, if you remember correctly.	如果你沒記錯，她是十二月來的。
The walls are cracked and peeling.	牆壁裂開了，油漆剝落。
There are bars on the windows.	窗戶上有欄杆。
The old couch has a few cushions on it.	舊沙發上放著幾個墊子。
You're in the alleged crack house.	你在一棟涉嫌毒品窩點。
The stairs lead back up to the living room	樓梯通往上面的客廳。
The shelves have various supplies.	架上擺著各式物資。
The table is covered with varies tools to make drugs.	桌子上放著各式製毒工具。
The barrels contain chemicals to make drugs.	桶子裡放著製毒用的化學物。
The basement is a seedy looking place, with all the aroma of a drug lab.	地下室看起來破破爛爛，聞得到毒品實驗室的味道。
What day Bub?	哪一天啦？
Three	三
Ending	結束
Skip it	跳過
Watch it	觀看
Restore a Game	讀檔
glove compartment	手套箱
Wow!  A glove box.  How unusual.	哇！副駕駛座的置物箱。真少見。
speedometer calibration chart	速度計校正圖表
It's a speedometer calibration chart - a service record for this car's speedometer.  Departmental policy requires that all speedometers be calibrated every 90 days.	這是速度計校正圖表——這輛車速度計的檢修紀錄。警局規定所有速度計都必須每 90 天校正一次。
It's a traffic citation.	這是一張交通罰單。
 It's a traffic citation.	 這是一張交通罰單。
Your car	你的車
Tracking device	追蹤裝置
tracker screen activation button	追蹤螢幕啟動按鈕
This button activates the tracker.	這個按鈕啟動追蹤裝置。
light bulb	燈泡
The small light indicates that the tracker is activated.	小燈表示追蹤裝置已啟動。
light/siren switch	警燈／警笛開關
This button controls the emergency lights and siren.	這個按鈕控制警用紅藍燈與警笛。
ignition key	點火鑰匙
An ignition key	一個點火鑰匙
It's a computer.  Lytton sure is going high-tech.	這是台電腦。Lytton 確實在朝高科技邁進。
Pat's purse rests between the seats.	Pat 的皮包放在座位之間。
Pat's purse	Pat 的皮包
tracking screen	追蹤螢幕
It's a tracking screen.  This device allows you to track a person, vehicle, or any other moving object that a tracking device has been attached to.	這是追蹤螢幕。這個裝置讓你能追蹤任何被裝上追蹤器的人、車輛或其他移動物體。
police radio	警察無線電
It's a police radio.	這是台警察無線電。
the bench	法官席
The judge's bench holds the place of honor in the courtroom.	法官席在法庭上佔據尊榮的位置。
The U.S. flag serves to remind everyone that the courts are a branch of the local, state, and U.S. governments.	美國國旗提醒每個人，法庭是地方、州政府和美國聯邦政府的一個分支。
the spectator area	旁聽區
This is the spectator area. It's usually open for the public to observe the court's proceedings.	這是旁聽區。通常開放給公眾旁聽法庭程序。
The three foot wall divides the council area from the spectator area of the courtroom.	三呎高的隔牆將法庭的議會區與旁聽區分開。
That table is for the prosecuting attorney and the complaintent or prosecution witness.	那張桌子是給公訴檢察官與檢舉人或檢控證人用的。
the chairs	座椅
Theater chairs line the spectator area.	劇院座椅排列在旁聽區。
An aisle runs down the middle of the spectator area to the council area.	一條走道從旁聽區中間通往議會區。
Tools	工具
Personnel	人事
Quit	離開
Walls  	Walls
Aspen	Aspen
Peach	Peach
Lilly	Lilly
Poppy	Poppy
River	River
Dialog	對話
Controls	控制
"LPD recently received this top-secret list of the names and occupations of the members of an alleged electronic terrorist group. The gang leader, one Jim "Pretty Boy" Walls, has been known to threaten to "shape Lytton's future like so much silly putty". It is not known at this time if the gang's intentions are for good or evil - or if they should even be taken seriously. Nevertheless, be on the lookout for the following gang members.\nThey're wanted for questioning."	「Lytton 警局最近收到一份絕密名單，列出一個涉嫌電子恐怖主義集團的成員名字和職業。幫派首領 Jim "Pretty Boy" Walls 曾威脅要『把 Lytton 的未來像軟陶一樣隨意塑造』。目前不知道這幫人的意圖是善是惡——或他們是否該被當真。不過要留意以下幫派成員。\n他們被通緝進行詢問。」
